"Date and Time","temp1","temp2"
"09/17/2023 05:40:18 pm","23.4",""
"09/17/2023 05:40:08 pm","23.4","36.3"
"09/17/2023 05:39:58 pm","","36.4"
"09/17/2023 05:39:58 pm","23.3",""
"09/17/2023 05:39:48 pm","23.4","36.6"
"09/17/2023 05:39:38 pm","23.5","36.7"
"09/17/2023 05:39:28 pm","23.6","36.7"
"09/17/2023 05:39:18 pm","","36.6"
"09/17/2023 05:39:18 pm","23.6",""
"09/17/2023 05:39:08 pm","","36.8"
"09/17/2023 05:39:08 pm","23.5",""
"09/17/2023 05:38:58 pm","23.6","36.8"
"09/17/2023 05:38:48 pm","23.6","36.9"
"09/17/2023 05:38:38 pm","","36.9"
"09/17/2023 05:38:38 pm","23.8",""
"09/17/2023 05:38:28 pm","","37.1"
"09/17/2023 05:38:28 pm","23.9",""
"09/17/2023 05:38:18 pm","23.9","36.7"
"09/17/2023 05:38:08 pm","","24"
"09/17/2023 05:38:08 pm","23.9",""
"09/17/2023 05:37:57 pm","","37.1"
"09/17/2023 05:37:57 pm","24",""
"09/17/2023 05:37:47 pm","","37.1"
"09/17/2023 05:37:47 pm","23.9",""
"09/17/2023 05:37:37 pm","","37.1"
"09/17/2023 05:37:37 pm","23.9",""
"09/17/2023 05:37:27 pm","24","37.1"
"09/17/2023 05:37:17 pm","","37"
"09/17/2023 05:37:17 pm","24",""
"09/17/2023 05:37:07 pm","23.9","37"
"09/17/2023 05:36:57 pm","23.9","37.1"
"09/17/2023 05:36:47 pm","23.9","37.1"
"09/17/2023 05:36:37 pm","23.9","37.2"
"09/17/2023 05:36:27 pm","","37.3"
"09/17/2023 05:36:27 pm","23.9",""
"09/17/2023 05:36:17 pm","23.8","37.3"
"09/17/2023 05:36:07 pm","","37.3"
"09/17/2023 05:36:07 pm","23.7",""
"09/17/2023 05:35:57 pm","","37.5"
"09/17/2023 05:35:57 pm","23.9",""
"09/17/2023 05:35:47 pm","","37.5"
"09/17/2023 05:35:47 pm","24.1",""
"09/17/2023 05:35:37 pm","","37.5"
"09/17/2023 05:35:37 pm","23.7",""
"09/17/2023 05:35:26 pm","24","37.5"
"09/17/2023 05:35:16 pm","","37.5"
"09/17/2023 05:35:16 pm","23.9",""
"09/17/2023 05:35:06 pm","23.9","37.5"
"09/17/2023 05:34:56 pm","","37.6"
"09/17/2023 05:34:56 pm","24",""
"09/17/2023 05:34:46 pm","23.9","37.6"
"09/17/2023 05:34:36 pm","","37.5"
"09/17/2023 05:34:36 pm","23.6",""
"09/17/2023 05:34:26 pm","23.6","37.6"
"09/17/2023 05:34:16 pm","23.7","37.7"
"09/17/2023 05:34:06 pm","23.9","37.7"
"09/17/2023 05:33:56 pm","","37.7"
"09/17/2023 05:33:56 pm","24.1",""
"09/17/2023 05:33:46 pm","","37.7"
"09/17/2023 05:33:46 pm","24.1",""
"09/17/2023 05:33:36 pm","","37.5"
